dpt_tp,grpcode_tp,tpincno_bi,tgt,offset_tgt
917EA,TYB0AB09,1,17803.056,11.302613959
905EA,XTA1,1,6370,10.940525206
93287,BJA0,1,40883.4887,11.506032814
905EA,HMB0AA03,1,41228.082,11.630437597
90948,CAA0,1,13782.294,10.975584575
94022,DZA2AK06,1,48399.95,11.495596689
905EA,DFC1IZ08,1,27007.05,11.541420606
91839,RCA1,1,6848.1024,11.755542086
923EA,CCA2AD02,1,158991.192,11.646515558
917EA,CAA0BB03,1,500000,11.000864379
91683,BKA1AL05,1,9303.6,11.634375335
90531,HMB0AA02,1,299.982,9.9546951702
901EA,BJAD,1,298679.28,10.23661163
917EA,BJG0AE01,1,485964.18316,11.784840181
92229,FTA3AV,1,1950,12.4521162
90344,BKA1AH00,1,1070,11.860728172
93454,ZTA0,1,60851.9216,11.629193019
91833,ADA1,1,6695.5,11.238263307
93284,RCA1BW02,1,32608.87,11.27909192
93117,others,1,7699.992,12.075587051
90947,FTA1BE04,1,2627.8,11.578330206
903EA,RWA0AH01,1,186075.79,11.575291215
901EA,RCA1BS02,1,3770,11.389989324
90343,BTA2AA02,1,91200,11.3088701
93920,GQB1,1,1542,11.140648805
93418,QYA1AR01,1,14194.32,11.620787495
91193,TYB0AB09,1,22450,10.951172572
93381,BJG0AE01,1,6984,11.640936028
90521,BJA2AC01,1,485131.675,10.83308408
90781,BTA1AL,1,342000,11.496457796
90965,others,1,26124.7,11.637129537
92182,DZA2AA04,1,74278.302,10.635072745
93920,ZHA0AK01,1,49977.554,11.582442022
90983,RCA1BX02,1,49194.99,11.894298931
93454,ZTA0,1,44628.462265,11.698068219
90926,QRA0BA01,1,53467.018,11.341791335
93292,others,1,48982,11.151329825
90131,CAA0BT,1,21541.822,10.577982361
90521,XDA1AD01,1,29900,11.386090042
91781,BTA2AF01,1,1000000,12.004706518
905EA,FTA2AB02,1,671113.1,11.502800278
93115,LMA2AI,1,8641.41,11.314912646
905EA,BKA1AL05,1,232227.505,11.421317376
93453,GQB1,1,29066.702592,11.584549841
93116,SKA1AF01,1,61909.7,11.257517898
91191,BKA1AN02,1,30284.76,11.506483349
90925,CAA0,1,76157.362159,11.115402492
91183,JBY0AC,1,106046.52,11.329231052
906EA,TYB0AB01,1,17287.678,11.061230677
90520,JHA0,1,9736,11.432428072
905EA,RCA1BW01,1,4549.982,11.268430706
92185,QYA1AF03,1,918000,11.680052437
905EA,RCA1BS02,1,5027.52,11.547398015
91687,MZA2AL01,1,130979.982,11.343081262
90945,ZHA0,1,4450,11.394989446
90949,CAA0AM01,1,36333.637601,11.030161354
905EA,BMA1AK03,1,1000000,11.618632608
90948,others,1,50814.88,11.287711663
91283,CCA2AD,1,24304.3,11.668340065
93115,DZA2AD03,1,34265.38,12.035637214
90346,RWA0AB01,1,725,11.244422563
90925,GQB1,1,228,10.610917702
90343,JLA0AJ02,1,12960,11.111892953
918EA,HMB0AA01,1,39858,10.298046542
942EA,DZA2AB01,1,7550,10.678391396
93293,BTA2AE01,1,18500,11.341266559
90945,CAA0AM01,1,842,11.350179132
90344,FTB1AF02,1,30929.625,11.439347536
93452,BKA1AH03,1,6474.36,11.410597662
90925,CAA0BG01,1,285291.12,11.111873194
90951,DZA2AC01,1,73956,11.412741733
91831,XFA1AK05,1,6199.99,11.740466444
90345,XDA1AB01,1,43000,11.372475816
90520,QYA1AG02,1,205925.5425,11.990824128
90925,QRA0,1,6648.685,11.113008072
92788,CAA0AR02,1,121248.94176,11.677898047
91834,DFC9DG,1,500000,11.474264862
90960,BJG0AD01,1,13390,11.447519873
91723,BKA1AL05,1,11570,11.092780819
90521,CCA2AD02,1,153352.451,11.510942607
90345,FTA2AD01,1,85000,11.547267578
908EA,XFA1AK03,1,35467.798,11.364475506
90781,BMA1AK04,1,19680,11.506323828
90343,CCA2AA01,1,213933,12.249747905
94023,others,1,58974,11.495991222
93287,SKA1AC01,1,391249.506,10.955635079
93286,SKA1AA01,1,362470,11.614952399
90783,TYB0AA01,1,15681,10.539250163
90925,CAA0AY01,1,10812.8,10.595696775
93453,JLA0AS01,1,28237.9874,11.402304463
90988,JLA0,1,9816,11.072464868
